"ID_echantillon";"Nom_scientifique";"Genre";"Espece";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"BD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD"
"09_3";"Arillastrum gummiferum";"Arillastrum";"gummiferum";9;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,81;3,04;0,33;5,29;8,25;154,67;2,32;0
"09_4";"Arillastrum gummiferum";"Arillastrum";"gummiferum";9;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,88;7,33;3,71;10,82;11,55;236,9;4,72;0
"09_5";"Arillastrum gummiferum";"Arillastrum";"gummiferum";9;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,55;5,34;1,77;4,48;11,79;336,03;4,24;0
"09_6";"Arillastrum gummiferum";"Arillastrum";"gummiferum";9;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,73;8,6;4,13;25,82;18,39;3017,09;40,65;0
"10_1";"Hibbertia lucens";"Hibbertia";"lucens";10;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47,3;76,43;15,83;60,93;3,86;1287,63;21,81;0
"10_2";"Hibbertia lucens";"Hibbertia";"lucens";10;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40,14;41,99;7,6;50,85;0,84;789,05;13,08;0
"10_3";"Hibbertia lucens";"Hibbertia";"lucens";10;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,84;44,87;10,14;20,71;0,19;619,87;6,09;0
"10_4";"Hibbertia lucens";"Hibbertia";"lucens";10;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,22;17,97;1,49;40,27;1,3;1131,02;12,49;0
"10_5";"Hibbertia lucens";"Hibbertia";"lucens";10;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,6;39,98;12,23;13,3;1,1;357,71;3,6;0
"10_6";"Hibbertia lucens";"Hibbertia";"lucens";10;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28,38;62,74;17,37;36,25;1,65;569,06;10,34;0
"11_1";"Metrosideros laurifolia";"Metrosideros";"laurifolia";11;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,81;3,78;0,62;7,05;4,71;108,35;4,63;0
"11_2";"Metrosideros laurifolia";"Metrosideros";"laurifolia";11;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,19;9,88;3,39;8,66;4,43;112,79;8,08;0
"11_3";"Metrosideros laurifolia";"Metrosideros";"laurifolia";11;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,24;15,18;6,26;6,26;13,34;124,24;4,93;0
"11_4";"Metrosideros laurifolia";"Metrosideros";"laurifolia";11;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,37;9,71;0,67;13,88;5,64;347,22;10,33;0
"11_5";"Metrosideros laurifolia";"Metrosideros";"laurifolia";11;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,7;9,33;2,36;7,1;5,93;121,43;4,19;0
"11_6";"Metrosideros laurifolia";"Metrosideros";"laurifolia";11;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,5;6,53;1,26;8,78;17,78;146,89;7,3;0
"12_1";"Tristaniopsis glauca";"Tristaniopsis";"glauca";12;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,74;19,3;8,37;16,79;2,47;152;9,91;0
"12_2";"Tristaniopsis glauca";"Tristaniopsis";"glauca";12;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,17;12,1;3,93;19,15;4,46;285,19;18,45;0
"12_3";"Tristaniopsis glauca";"Tristaniopsis";"glauca";12;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,89;29,67;11,82;29,8;1,59;171,77;16,31;0
"12_4";"Tristaniopsis glauca";"Tristaniopsis";"glauca";12;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,82;9,38;5,23;4,65;3,24;136,72;3,88;0
"12_5";"Tristaniopsis glauca";"Tristaniopsis";"glauca";12;"M";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,54;4,23;0,61;12,12;7,36;212,95;7,32;0
