"";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"BD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD";"Nb_FI"
"27";"Elaeocarpus angustifolius";53;"";26,1;1;77,4;9,5;0,5;9,5;18,33;18,33;700,57;57,5;57,5;1;7,5;2,08;136,93;116,03;422,64;0,44;9,27;31,1;152,93;90,29;24,7;396,68;23,68;11276,41;36,14;0,76;6
"28";"Elattostachys apetala";26;"F";26,4;4;67,1;9,5;0,5;9,5;37;37;785,67;80;80;1;3,33;2,62;95,99;78,33;510,61;0,55;10,26;11,55;147,53;110,18;15,04;410,17;33,74;12723,75;33,43;1,13;6
"29";"Erythrina variegata var. fastigiata";54;"N";26,1;1,33;77,4;9,5;0,5;9,5;27,33;27,33;661,8;81,67;81,67;1;3,5;1,83;171,9;154,96;370,77;0,55;10,36;60,64;239,61;105,03;40,42;298,78;31,37;19099,65;16,4;0,76;6
"30";"Fagraea berteroana";31;"";27,4;1,2;70,9;4,67;0,83;9,17;6,33;10,83;322,93;2,5;4,5;0,5;2,33;13,9;141,65;128,46;416,54;0,66;12,81;27,5;376,91;327,06;10,46;210,16;95,25;8749,13;24,62;1,06;3
"31";"Ficus fraseri";56;"";30;4,8;65,6;5,92;1;9;17;20,17;403,45;10;11,83;0,83;13,83;3,31;136,57;111,11;425,09;0,71;12,83;18,07;241,28;89,11;44,44;294,4;21,84;16306,81;18,32;1,46;5
"32";"Ficus habrophyla";25;"F";26,4;4;67,1;8,92;1,08;8,92;24,5;24,5;685,33;48,33;48,33;1;0,83;7,17;192,74;176,03;342,03;0,86;16,54;21,47;181,93;120,61;22,31;359,93;401,3;9743,38;38,56;1,13;6
"33";"Garcinia neglecta";66;"";33,67;3;64,6;6,25;3,75;6,25;19,5;19,5;592,5;27,5;27,5;1;19;6,49;130,16;99,06;438,94;0,62;11,01;19,32;250,28;167,49;24,48;290,29;21,73;7839,38;39,62;1,89;6
"34";"Gardenia urvillei";43;"L";27,4;1,4;75;9,33;0,67;9,33;41,5;41,5;661,12;54,17;54,17;1;8,5;2,74;62,79;50,48;615,59;0,61;10,35;10,17;156,74;93,28;25,41;392,12;13,42;11961,93;33,75;0,91;6
"35";"Geissois pruinosa";6;"M";31,8;4,2;54,9;8,33;1,67;8,33;75,17;75,17;789,67;69,17;69,17;1;3,33;9,46;94,71;82,19;513,81;0,76;14,33;22,92;157,76;102,02;22;392,64;35,54;5881,55;69,75;2,12;6
"36";"Geissois racemosa";49;"F";29,5;5;59,9;9,08;0,92;9,08;34,17;34,17;748;70;70;1;1;4,21;114,23;103,96;494,6;0,74;13,77;43,79;169,06;99,05;25,85;374,22;118,54;9823,28;39,4;1,65;6
