"";"ID_echantillon";"ID_espece";"Date";"heure";"Lieu";"Longitude";"Latitude";"Remarques";"Nom.verna";"Nom_scientifique";"Famille";"Habitat";"Milieu_recolte";"Statut";"Type.feuille";"Forme.feuille";"Texture.feuille";"Type.ecorce";"Forme.croissance";"Inflammabilite.presume";"T_ambiante";"Vent";"Humidite";"T_grill";"DI";"DI_test";"MT";"temps_total";"BB";"BB_test";"remarque";"longeur";"largeur";"hauteur";"masse";"score_DI";"BT";"BT_test";"FI";"SD";"Masse_T_T0";"Masse_T_T24";"Masse_T_Tsec";"Longeur_T_cm";"diametre_T_1_mm";"diametre_T_2_mm";"Nb_ramifications";"Gmin";"TV";"TD";"TMC_t0";"TMC_t24";"TDMC";"TDIA";"ID_Feuille";"Masse_F_T0";"Masse_F_T24";"Masse_F_Tsec";"Surface_F";"LMC_t0";"LMC_t24";"PEF";"LDMC";"SLA";"LT"
"21";"01_5";1;"26-mars";"10h10";"IRD";166,44256;-22,300258;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;167,7;9;1;812;133;30;30;"";70;NA;NA;NA;9;12;12;1;NA;7,147;6,719;2,781;16;8,93;7,13;4;8,349685944;20,18;0,35;156,99;141,6;389,11;8,03;"01_5_1";2,556;1,963;1,102;110,847;131,941923774955;78,13;23,2;431,14;10058,71;42,86
"22";"01_5";1;"26-mars";"10h10";"IRD";166,44256;-22,300258;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;167,7;9;1;812;133;30;30;"";70;NA;NA;NA;9;12;12;1;NA;7,147;6,719;2,781;16;8,93;7,13;4;8,349685944;20,18;0,35;156,99;141,6;389,11;8,03;"01_5_2";2,58;2,065;1,124;111,227;129,537366548043;83,72;19,96;435,66;9895,64;44,03
"23";"01_5";1;"26-mars";"10h10";"IRD";166,44256;-22,300258;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;167,7;9;1;812;133;30;30;"";70;NA;NA;NA;9;12;12;1;NA;7,147;6,719;2,781;16;8,93;7,13;4;8,349685944;20,18;0,35;156,99;141,6;389,11;8,03;"01_5_3";0,717;0,612;0,285;34,78;151,578947368421;114,74;14,64;397,49;12203,51;32,57
"24";"01_5";1;"26-mars";"10h10";"IRD";166,44256;-22,300258;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;167,7;9;1;812;133;30;30;"";70;NA;NA;NA;9;12;12;1;NA;7,147;6,719;2,781;16;8,93;7,13;4;8,349685944;20,18;0,35;156,99;141,6;389,11;8,03;"01_5_4";1,172;1,025;0,474;54,827;147,257383966245;116,24;12,54;404,44;11566,88;34,97
"25";"01_5";1;"26-mars";"10h10";"IRD";166,44256;-22,300258;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;167,7;9;1;812;133;30;30;"";70;NA;NA;NA;9;12;12;1;NA;7,147;6,719;2,781;16;8,93;7,13;4;8,349685944;20,18;0,35;156,99;141,6;389,11;8,03;"01_5_5";1,67;1,508;0,712;74,295;134,550561797753;111,8;9,7;426,35;10434,69;40,86
"26";"01_6";1;"26-mars";"10h15";"IRD";166,442727;-22,300215;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;168,3;9;1;798;137;45;45;"";70;NA;NA;NA;9;16;16;1;NA;3,941;3,662;1,88;7,2;8,02;7,49;2;11,17756319;8,77;0,45;109,63;94,79;477,04;7,755;"01_6_1";2,149;1,808;1,082;84,212;98,6136783733826;67,1;15,87;503,49;7782,99;64,69
"27";"01_6";1;"26-mars";"10h15";"IRD";166,442727;-22,300215;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;168,3;9;1;798;137;45;45;"";70;NA;NA;NA;9;16;16;1;NA;3,941;3,662;1,88;7,2;8,02;7,49;2;11,17756319;8,77;0,45;109,63;94,79;477,04;7,755;"01_6_2";2,038;1,805;1,019;76,164;100;77,13;11,43;500;7474,39;66,9
"28";"01_6";1;"26-mars";"10h15";"IRD";166,442727;-22,300215;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;168,3;9;1;798;137;45;45;"";70;NA;NA;NA;9;16;16;1;NA;3,941;3,662;1,88;7,2;8,02;7,49;2;11,17756319;8,77;0,45;109,63;94,79;477,04;7,755;"01_6_3";3,472;2,844;1,658;136,496;109,40892641737;71,53;18,09;477,53;8232,57;58
"29";"01_6";1;"26-mars";"10h15";"IRD";166,442727;-22,300215;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;168,3;9;1;798;137;45;45;"";70;NA;NA;NA;9;16;16;1;NA;3,941;3,662;1,88;7,2;8,02;7,49;2;11,17756319;8,77;0,45;109,63;94,79;477,04;7,755;"01_6_4";3,566;3,121;1,743;131,843;104,589787722318;79,06;12,48;488,78;7564,14;64,62
"30";"01_6";1;"26-mars";"10h15";"IRD";166,442727;-22,300215;"";"Manguier";"Mangifera indica";"Anacardiaceae";"I";"N";"Introduite";"Simple";"Lancéollée";"Douce";"Fissurée";"Arbre";"Faible";30,2;5,7;75,1;168,3;9;1;798;137;45;45;"";70;NA;NA;NA;9;16;16;1;NA;3,941;3,662;1,88;7,2;8,02;7,49;2;11,17756319;8,77;0,45;109,63;94,79;477,04;7,755;"01_6_5";1,72;1,539;0,864;64,879;99,0740740740741;78,12;10,52;502,33;7509,14;66,9
