"";"ID_echantillon";"T_ambiante";"Vent";"Humidite";"T_grill";"DI";"DI_test";"MT";"temps_total";"BB";"BB_test";"remarque";"longeur";"largeur";"hauteur";"masse";"score_DI";"BT";"BT_test";"SD"
"104";"18_2";26,3;1,5;81,7;183;9,5;0,5;651,3;144;90;90;"";70;57;14;100;9,5;24;24;3,42
"105";"18_3";26,3;1,5;81,7;155;9,5;0,5;597,5;144;95;95;"";70;52;12;75;9,5;24;24;3,28
"106";"18_4";26,3;1,5;81,7;168,8;9,5;0,5;734,2;149;75;75;"";70;63;23;75;9,5;28;28;1,41
"107";"18_5";26,3;1,5;81,7;160,7;9,5;0,5;672,6;148;55;55;"";70;50;7;25;9,5;28;28;1,95
"108";"18_6";26,3;1,5;81,7;182,8;9,5;0,5;688,4;158;75;75;"";70;70;25;100;9,5;38;38;1,56
"109";"19_1";29,1;1,5;68,8;155,5;7;3;788,4;227;80;80;"";70;52;17;375;7;104;104;11,57
"112";"19_4";29,1;1,5;68,8;177,5;5;5;514;136;5;5;"";70;44;18;425;5;11;11;14,64
"113";"19_5";29,1;1,5;68,8;180;8,5;1,5;642,4;145;5;5;"";70;63;27;675;8,5;24;24;10,83
"114";"19_6";29,1;1,5;68,8;187,3;6;4;539,9;137;5;5;"";70;50;24;575;6;13;13;13,07
"115";"20_1";29,1;1,5;68,8;182,9;7;3;462,6;138;15;15;"";70;64;26;225;7;15;15;3,69
"116";"20_2";29,1;1,5;68,8;163,5;9;1;713;152;20;20;"";70;57;20;375;9;31;31;8,97
"117";"20_3";29,1;1,5;68,8;167,7;9;1;386,2;138;10;10;"";70;47;33;325;9;17;17;5,72
"120";"20_6";29,1;1,5;68,8;188;9;1;685,6;135;15;15;"";70;74;17;275;9;14;14;5,96
"122";"21_2";29,1;1,5;68,8;171,9;5;5;426,2;136;1;1;"";70;32;19;200;5;11;11;8,97
"127";"22_1";29,1;1,5;68,8;160;9,5;0,5;656,2;167;70;70;"";70;65;27;200;9,5;46;46;3,11
"128";"22_2";29,1;1,5;68,8;173,5;9,5;0,5;615;250;60;60;"";70;58;38;275;9,5;130;130;3,4
"129";"22_3";29,1;1,5;68,8;162,7;9,5;0,5;785,7;187;60;60;"";70;66;34;425;9,5;66;66;5,17
"130";"22_4";29,1;1,5;68,8;176,5;9;1;657,7;168;65;65;"";70;62;39;175;9;47;47;1,97
"131";"22_5";29,1;1,5;68,8;161,8;9,5;0,5;648;140;40;40;"";70;50;27;125;9,5;20;20;2,53
"132";"22_6";29,1;1,5;68,8;155;9;1;576,2;140;55;55;"";70;60;30;150;9;19;19;2,27
"133";"23_1";28,1;3;70,3;170,3;9;1;759,2;183;80;80;"";70;58;21;150;9;62;62;3,36
