"";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"Nb_ramifications";"SD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"45";"Neuburgia novocaledonica";27;"F";26,4;4;67,1;9,5;0,5;9,5;14;14;447,3;22,5;22,5;2,5;3,51;193,87;165,12;350,04;0,58;12,36;33,76;397,04;270,33;25,38;203,35;147,76;15496,63;0,01
"46";"Pinus caribea";24;"N";28,1;3;70,3;9,5;0,5;9,5;103,33;103,33;902;77,5;77,5;4,5;8;86,4;78,19;537,57;0,71;15,29;9,66;129,41;113,53;6,94;437,77;4,91;7626,93;0,06
"47";"Santalum austrocaledonicum";14;"G";28,5;3,2;68,1;9;1;9;28,5;28,5;603,6;35;35;11,33;3,13;88,43;66,19;532,03;0,53;9,71;25,49;234,06;149,62;25,35;302,79;8,4;10106,48;0,03
"48";"Scaevola montana";46;"N";24,1;2,4;64,2;9,5;0,5;9,5;19,6;19,6;626,44;35;35;14,5;1,88;111,39;87,88;475,12;0,56;10,37;16,72;391,37;197,21;40,38;206,3;12,63;19918,39;0,01
"49";"Scaevola taccada";21;"G";29,1;1,5;68,8;5;5;5;11;11;426,2;1;1;4;8,97;243,76;219,39;292,8;0,65;13,25;14,51;775,09;673,62;11,79;116,6;48,76;17147,25;0,01
"50";"Syzygium cumini";15;"N";28,5;3,2;68,1;9,33;0,67;9,33;25,83;25,83;725,15;63,33;63,33;4,5;3,28;114,88;86,21;466,25;0,43;7,87;14,99;181,16;146,44;12,27;359,86;70,89;10230,61;0,04
"51";"Tabernaemontana cerifera";36;"F";26,6;1,5;65,3;8,5;1,5;8,5;20;20;449,35;11,67;11,67;3;6,63;183,78;168,78;353,79;0,76;15,56;56,86;318,72;232,23;20,98;241,77;99,83;7270,55;0,03
"52";"Terminalia catappa";2;"N";31,7;2,5;66;8,9;1,1;8,9;19,2;19,2;630,4;28;28;2,33;NA;174,01;149,18;405,47;0,48;9,33;25,08;226,98;159,01;20,9;308,77;250,55;12527,87;0,03
"53";"Trema cannabina";52;"N";29,5;5;59,9;9,5;0,5;9,5;22;22;623,08;53,33;53,33;9,33;0,85;184,68;147,3;353,91;0,31;7,99;67,58;232,92;56,73;52,43;304,63;35,13;22892,86;0,01
"54";"Tristaniopsis glauca";12;"M";28,32;2,75;77,32;9;1;9;64,83;64,83;775,83;86,17;86,17;8,17;3,67;54,47;42,95;648,21;0,86;11,39;20,07;91,68;50,19;21,87;522,46;15,84;3692,81;0,14
