"";"ID_echantillon";"DI";"BT";"MT";"BB";"Nb_ramifications";"SV";"SD";"TMC_t0";"TMC_t24";"PET";"TDMC";"TD";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"28";"05_4";9;79;798,6;35;8;0,04;3,41;78,12;62,05;9,02;561,42;0,57;24,62;108,2;70,65;18,06;480,37;14,52;4764,27;0,1
"29";"05_5";9;55;842;80;10;0,04;5,41;77,77;65,51;6,89;562,54;0,75;19,78;107;76,91;14,75;483,53;14,98;4505,48;0,11
"30";"05_6";5;86;807;30;10;0,16;2,39;71,54;59,47;7,04;582,96;0,82;14,02;112,52;77,61;16,78;471,59;16,93;5053,33;0,1
"31";"06_1";7,5;150;778,4;95;2;0,01;12,5;88,36;76,08;6,52;530,89;0,81;36,8;160,57;106,38;20,9;385,52;36,26;4964,56;0,08
"32";"06_2";8;62;731,9;30;9;0,06;5,91;98,64;88,98;4,86;503,43;0,89;15,84;181,21;129,84;18,27;355,63;25,73;7586,82;0,05
"33";"06_3";8,5;52;773,5;50;2;0,01;8,93;92,09;77,97;7,35;520,6;0,63;15,89;148,78;107,14;17,24;405,38;47,51;6126,12;0,07
"34";"06_4";8,5;50;845,8;85;2;0,02;7,14;92,68;83,31;4,87;518,99;0,86;20,87;136,96;57,98;33,35;422,09;36,38;5237,59;0,08
"35";"06_5";8,5;88;814,2;70;3;0,01;14,58;96,89;81,43;7,85;507,89;0,63;16,92;124;69,74;24,25;446,52;28,08;4927,63;0,09
"36";"06_6";8,5;48;794,2;85;2;0,02;7,89;99,58;85,37;7,12;501,04;0,77;31,19;198,18;142,97;18,29;336,48;38,67;6454,89;0,05
"37";"07_1";8;29;382,7;5;4;0,02;29,55;87,32;75,48;6,32;533,85;0,9;2,15;108,19;100,03;3,89;480,46;79,41;8612,48;0,12
"38";"07_2";8,5;202;864;70;0;0,01;39,58;99,22;80,06;9,62;501,95;0,74;4,51;111,7;99,84;5,61;472,81;37,16;3165,55;0,15
"39";"07_3";8;17;180;0;1;0,03;21,09;71,25;63,21;4,7;583,93;0,91;5,2;116,27;108,63;3,53;462,5;35,14;3438,42;0,14
"40";"07_4";0;0;150;0;1;0,03;25;69,05;64,67;2,59;591,54;0,91;2,73;138,11;122,72;6,46;420,04;41,3;4911,35;0,09
"41";"07_5";8,5;252;586,5;50;0;0,03;12,07;66,45;56,57;5,94;600,78;0,78;1,81;109,57;103,77;2,76;477,36;23,7;3900,58;0,12
"42";"07_6";8,5;122;528;15;0;0,02;28,12;88,92;71,37;9,29;529,32;0,83;3,05;104,38;99,11;2,56;502,4;42,06;2759,26;0,19
"43";"08_1";9,5;46;771,9;95;29;0,08;2,27;60,13;47,29;8,01;624,51;0,62;7,89;102,31;29,68;35,83;497,98;7,1;14083,6;0,05
"44";"08_2";9,5;28;739;95;21;0,01;8,33;68,39;47,25;12,55;593,87;0,4;8,98;113,25;20,2;43,64;469,05;5,92;9188,91;0,05
"45";"08_3";9,5;88;752,3;95;13;0,03;7;72,52;61,43;6,43;579,65;1,38;6,03;96,98;11,76;43,25;507,76;4,97;7683,97;0,07
"46";"08_4";9,5;24;432,2;90;32;0,02;1,19;85,72;53,99;17,09;538,44;0,32;14,26;120,59;24,17;42,74;459,05;1,5;19029,21;0,03
"47";"08_5";9,5;26;759;95;22;0,03;6;64,58;48,27;9,91;607,62;0,59;19,03;120,1;56,71;28,68;455,43;4,7;10867,02;0,04
"48";"08_6";9,5;16;761,3;95;23;0,02;2,08;73,5;48,43;14,45;576,38;0,36;13,14;110,24;34,63;35,72;483,99;2,94;13679,15;0,04
"49";"09_1";9;50;798;60;6;0,08;3,25;77,56;60,41;9,66;563,19;0,76;11,71;109,37;64,32;21,51;477,85;55,84;5325,48;0,09
"50";"09_2";9,5;32;788;60;10;0,05;5,39;71,68;63,9;4,53;582,49;1,24;11,82;92,19;56,1;18,86;520,7;61,68;4490,96;0,12
"51";"09_3";9;22;830;35;10;0,06;6,7;76,86;66,85;5,66;565,42;1,03;4,24;130,82;100,56;13,11;433,28;56,13;5716,54;0,08
"52";"09_4";9;53;859;70;10;0,04;8,57;82,19;71,24;6,01;548,87;0,89;5,36;132,21;91,99;17,28;430,87;68,19;5565;0,08
"53";"09_5";7,5;18;620;10;6;0,03;7,14;80,38;66,58;7,65;554,4;0,74;11,74;137,45;101,54;15,13;421,2;47,1;5659,47;0,07
"54";"09_6";9;23;609;20;8;0,06;4,92;80,64;70,38;5,68;553,58;0,8;6,46;156,14;117,11;15,13;391,26;56,7;7862,41;0,06
"55";"10_1";8,5;42;826;80;10;0,04;7,24;110,41;90,35;9,54;475,25;0,96;31,95;208,23;132,58;26,34;331,87;9,36;7224,4;0,05
"56";"10_2";9;35;818;80;11;0,06;3,85;97,27;76,11;10,73;506,92;0,97;73,38;177,22;53,36;45,34;366,61;6,12;6670,26;0,06
"57";"10_3";9;40;766;50;8;0,05;3,5;96,36;71,08;12,87;509,28;0,88;67,85;230,99;78,8;46,49;303,26;8,71;7706,96;0,04
"58";"10_4";9;58;840;45;7;0,05;4,63;91,8;77,12;7,65;521,38;0,93;44,11;193,94;33,21;54,66;344,49;7,61;6947,97;0,05
"59";"10_5";9,5;38;803;40;9;0,03;4,84;94,37;75,34;9,79;514,49;0,94;56,19;209,08;83,23;40,84;323,98;11,81;7767,19;0,04
"60";"10_6";9,5;44;726;60;12;0,06;4,31;90,08;76,19;7,31;526,09;1,42;52,45;186,21;74,19;40,03;352,27;9,22;6525,17;0,05
"61";"11_1";8,5;108;809;40;7;0,11;7,01;90,57;79,3;5,91;524,74;1,11;18,62;134,44;116,05;7,84;426,64;34,94;4043,19;0,11
