"";"ID_echantillon";"DI";"BT";"MT";"BB";"Nb_ramifications";"SV";"SD";"TMC_t0";"TMC_t24";"PET";"TDMC";"TD";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"168";"28_6";9,5;20;659,8;85;8;0,05;2,36;88,28;71,27;9,04;531,13;0,52;12,48;116,39;45,9;32,58;462,12;0,32;10596,72;0,04
"169";"29_1";9;12;411,4;10;3;0,03;6,25;83,05;63,97;10,42;546,3;0,55;6,88;252,43;213,39;11,09;284,39;96,02;11003,96;0,03
"170";"29_2";9;71;624,1;60;3;0,03;5,65;123,39;108,98;6,45;447,65;0,5;5,8;238,72;180,84;17,2;295,68;39,96;11469,11;0,03
"171";"29_3";9,5;16;529,2;20;1;0,03;5,36;158,88;146,16;4,91;386,28;0,53;6,06;228,55;172,85;17,08;304,95;189,7;9909,35;0,03
"172";"29_4";9;16;460,3;5;4;0,05;4,41;99,35;81,37;9,02;501,63;0,63;9,16;273,91;221,39;14,07;267,79;72,46;13161,45;0,02
"173";"29_5";9,5;36;614,9;35;2;0,03;7,76;99,26;78,61;10,37;501,85;0,53;6,24;279,39;236,32;11,43;265,2;127,88;12190,07;0,02
"174";"29_6";9;14;273;5;2;0,03;7,5;146,1;127,06;7,74;406,34;0,57;11,42;239,63;195,98;12,98;295,87;105,24;9494,92;0,03
"175";"30_1";9;17;617,5;10;6;0,03;12,96;241,19;213,3;8,17;293,1;0,87;17,07;231,1;201,83;8,87;302,35;68,27;8161,08;0,04
"176";"30_2";8,5;22;717,1;20;2;0,06;5,91;216,09;191,91;7,65;316,36;0,71;12,21;229,52;192,62;11,24;303,85;82;8335,16;0,04
"177";"30_3";9;14;612,3;10;2;0,03;7,35;231,48;210,88;6,22;301,67;0,89;6,99;218,48;184,63;10,73;314,82;108,8;7192,78;0,04
"178";"30_4";9;19;746,9;25;1;0,04;6,11;246,26;222,56;6,84;288,8;0,8;6,29;188,76;157,33;10,95;346,72;79,06;6483;0,05
"179";"30_5";3;12;452,6;5;1;0,01;16,67;219,92;196,6;7,29;312,58;0,88;8,72;211,37;181,82;9,53;321,93;71,33;5733,15;0,06
"180";"30_6";7;15;662,2;15;3;0,03;6,62;252,04;238,91;3,73;284,06;0,9;4,87;176,79;139,55;13,5;361,67;88,6;5798,58;0,06
"181";"31_1";9,5;12;385,5;5;2;0,01;25;145,4;133,55;4,83;407,51;0,63;3,98;377,22;331,19;9,59;209,93;95,36;7801,42;0,03
"182";"31_2";8;12;489,7;5;3;0,02;11,11;161,62;150,03;4,43;382,23;0,79;38,49;383,28;326,44;11,75;207,29;82,54;9444,27;0,02
"183";"31_3";0;0;150;0;2;0,01;12,5;168,35;149,02;7,21;372,64;0,58;26,6;404,78;350,81;10,71;198,19;91,43;9822,11;0,02
"184";"31_4";0;0;150;0;3;0,03;5,56;130,42;119,49;4,74;433,99;0,69;29,03;377,76;337,71;8,45;209,54;93,95;10136,61;0,02
"185";"31_5";0;0;150;0;1;0,01;18,75;110,9;95,9;7,11;474,15;0,53;34,91;358,65;310,91;10,51;218,43;85,14;7927,05;0,03
"186";"31_6";8;11;612,4;5;3;0,03;12,04;133,23;122,8;4,47;428,75;0,75;32,01;359,8;305,22;11,8;217,55;123,08;7363,3;0,03
"187";"32_1";9;33;757,1;55;9;0,03;2,88;62,32;46,32;9,86;616,08;0,49;23,09;84,92;16,71;36,88;540,85;3,57;5433,38;0,1
"188";"32_2";9,5;56;645,5;85;9;0,02;2,63;71,93;58,26;7,95;581,62;0,4;14,55;123,11;66,43;24,68;452,11;2;8361,49;0,06
"189";"32_3";9;24;805,5;95;8;0,01;5;72,01;58,51;7,85;581,36;0,44;38,04;106,53;68,32;18,49;484,43;3,68;6343,52;0,08
"190";"32_4";9;25;690,6;85;5;0,03;2;68,99;55,25;8,13;591,74;0,49;19,78;101,73;70,29;15,57;495,77;4,98;6414,53;0,08
"191";"32_5";9,5;38;849;95;2;0,01;7,5;74,01;57,44;9,52;574,67;0,39;24,31;104,76;69,91;17,01;488,54;2,85;7278,48;0,07
"192";"32_6";9;39;806,3;90;6;0,02;4,76;80,18;63,51;9,25;555;0,45;20,32;102,74;72,54;14,87;493,42;4,06;6805,9;0,07
"193";"33_1";9,5;64;792;95;2;0,06;3,81;143,96;127,48;6,76;409,9;0,83;13,18;182,13;104,1;27,68;355,7;177,49;13423,02;0,03
"194";"33_2";9;38;772,7;90;5;0,03;4,41;143,35;124,63;7,69;410,93;0,42;8,22;191,05;116,64;26,03;346,14;162,22;14113,13;0,03
"195";"33_3";9,5;20;690,4;70;6;0,02;6,25;119,41;94,01;11,58;455,76;0,5;16;202,12;123,18;26,83;334,25;105,8;14066,43;0,02
"196";"33_4";6;48;713,1;45;4;0,06;3,39;142,23;131,5;4,43;412,83;0,79;9,61;196,79;133,35;21,73;338,6;171,42;13552,95;0,03
"197";"33_5";9;24;700,5;25;0;0,02;5,56;242,72;216,82;7,56;291,78;0,47;19,98;195,46;123,21;24,45;341,82;165,4;15591,87;0,02
"198";"33_6";9,5;26;697,6;50;1;0,02;6,94;227,38;203,39;7,33;305,45;0,67;12,95;314,28;194,57;28,07;247,45;252,28;22868,72;0,01
"199";"34_1";9,5;36;658,2;60;4;0,03;5,56;249,77;231,28;5,28;285,91;0,55;17,53;223,44;141,64;24,09;313,07;187,91;18185,61;0,02
"200";"34_2";9,5;26;685;85;1;0,02;6,58;229,49;207,53;6,67;303,5;0,54;21,67;209,81;111,3;31,44;324,08;116,56;15281,31;0,02
"201";"34_3";9;31;711,4;65;3;0,02;6,52;208,72;183,79;8,07;323,92;0,53;9,32;187,08;122,27;22,62;349,46;225,1;13949,27;0,03
"202";"34_4";9;26;676,1;60;1;0,01;8,33;248,19;210,13;10,93;287,2;0,4;7,4;203,79;125,11;25,82;330,56;287,68;14486,93;0,02
"203";"34_5";8;21;789,2;40;3;0,02;3,26;116,01;102,35;6,33;462,94;0,5;15,35;194,56;123,89;24,32;342,23;66,5;13627,7;0,03
"204";"34_6";9;27;803,5;70;2;0,03;3,12;116,2;106,26;4,6;462,54;0,62;18,21;191,31;99,33;31,54;344,26;127,75;13071,15;0,03
"205";"35_1";9;25;768,2;90;0;0,04;4,76;231,3;220,52;3,25;301,84;0,71;22,95;230,65;135,36;29,55;307,36;531,93;14693,35;0,02
"206";"35_2";9,5;22;489,8;50;2;0,02;6,58;142,05;134,86;2,97;413,14;0,56;19,18;197,55;108,96;29,97;336,89;494,62;12387,34;0,03
"207";"35_3";9;24;829,8;95;1;0,04;7,14;134,49;125,92;3,66;426,45;0,74;33,3;208,29;93,57;37,72;329,26;630,38;14792,07;0,02
"208";"35_4";9;28;800,8;90;0;0,05;3,3;223,28;195,64;8,55;309,33;0,67;24,15;179,53;82,34;34,86;358,02;656,93;12598,09;0,03
"209";"35_5";9,5;32;777,6;85;1;0,01;11,67;272,67;245,97;7,16;268,34;0,6;20,56;239,34;148,93;26,91;297,59;631,41;18505,34;0,02
"210";"35_6";9;42;774,8;80;0;0,05;4,08;214,94;195,27;6,24;317,53;0,58;9,03;234,07;135,64;30,41;302,83;666,21;17377,79;0,02
"211";"36_1";8,5;14;226;5;3;0,03;9,38;210,76;197,32;4,32;321,79;0,82;73,99;375,4;284,51;19,74;215,84;153,84;8633,39;0,03
"212";"36_2";8;14;519,2;5;3;0,06;4,82;175,15;159,94;5,53;363,43;0,76;15,46;341,39;250,36;20,7;226,89;128,4;8147,03;0,03
"213";"36_3";9;30;592,1;20;3;0,05;7,07;198,25;185,44;4,3;335,29;0,77;32,23;315,91;248,63;16,65;242,67;108,83;8187,66;0,03
"214";"36_4";9;23;595;10;4;0,04;7,22;159,62;147,87;4,53;385,17;0,01;47,51;278,64;206,05;19,21;264,17;50,7;6157,87;0,04
"215";"36_5";7;11;225,7;5;3;0,06;4,3;167,04;157,11;3,72;374,47;0,78;81,01;295,63;217,04;20,13;252,93;77,57;6783,11;0,04
"216";"36_6";7;26;538,1;20;2;0,03;7,03;191,89;165,01;9,21;342,6;0,71;90,95;305,34;186,81;29,46;248,12;79,65;5714,21;0,04
"217";"37_1";9,5;64;820,1;80;1;0,04;5,56;94,39;81,99;6,38;514,44;0,76;16,64;130,06;81,44;21,12;434,7;19,48;7946,65;0,05
"218";"37_2";9;42;743,7;95;0;0,04;3,57;96,89;78,79;9,19;507,89;0,62;16,39;130,74;93,61;16,11;433,4;32,78;7001,84;0,06
"219";"37_3";9,5;148;786,5;95;0;0,03;13,79;111,31;103,47;3,71;473,24;0,98;24,57;153,52;90,99;24,72;394,59;16,1;9302,89;0,04
"220";"37_4";9,5;32;758;95;1;0,03;8,33;92,85;83,66;4,76;518,55;0,83;8,88;121,69;66,55;24,88;451,08;24,07;6995,2;0,06
"221";"37_5";9,5;56;823,1;95;1;0,02;8,33;142,24;124,26;7,42;412,82;0,63;12,36;176,01;130,96;16,34;362,43;23,18;9810,13;0,04
"222";"37_6";9,5;66;763,5;90;0;0,02;8,7;81,92;70,74;6,15;549,68;0,73;25,47;132,72;84,1;20,91;429,72;12,17;7132,82;0,06
"223";"38_1";9;60;699,9;45;7;0,06;4,51;102,94;91,73;5,53;492,76;0,59;24,06;135,53;124,23;4,8;424,63;19,79;5494,09;0,08
"224";"38_2";7;9;667,9;25;7;0,06;2,68;106,76;93,17;6,57;483,66;0,77;7,24;171,71;164,07;2,82;369,23;17,81;5653,83;0,07
"225";"38_3";6;72;617,6;30;14;0,14;3,62;96,18;88,12;4,11;509,74;0,88;16,48;134,72;117,33;7,41;426,18;16,32;5225,24;0,08
"226";"38_4";6;121;701,2;50;12;0,09;6,45;96,39;87,23;4,66;509,18;0,83;20,16;102,96;85,83;8,44;492,92;24,98;3640,64;0,14
"227";"38_5";7;128;818;60;7;0,09;4,55;91,75;84,44;3,82;521,5;0,79;15,66;97,32;80,08;8,75;506,9;20,32;3376,39;0,15
"228";"38_6";7;130;881,3;95;24;0,15;3,89;92,65;87;2,93;519,07;1,11;7,6;88,93;80,36;4,53;529,52;13,86;3334,48;0,16
"229";"39_1";6;39;801,4;25;6;0,05;5,32;86,49;75,16;6,08;536,24;0,68;18,12;120,64;82,55;17,38;453,46;35,66;4654,67;0,1
"230";"39_2";7;20;753;30;13;0,04;4,76;83,39;70,82;6,85;545,29;0,62;12,78;126,63;103,25;10,43;441,49;21,71;5094,19;0,09
"231";"39_3";9;38;713,9;45;11;0,04;4,88;91,25;83,38;4,11;522,88;0,63;11,03;128,6;99,92;12,6;437,77;26,16;6404,4;0,07
"232";"39_4";9;22;756,3;50;6;0,04;2,63;109,89;99,27;5,06;476,44;0,54;23,37;138,7;97,86;17,11;419,19;45,85;5936,72;0,07
"233";"39_5";8;43;695,6;45;7;0,04;4,38;109,68;96,89;6,1;476,92;0,67;11,21;126,06;99,4;11,78;442,4;29,43;5712,44;0,08
"234";"39_6";0;0;150;0;12;0,04;2,44;86,67;78,63;4,3;535,72;0,73;16,43;119,39;74,11;20,64;455,83;23,21;5491,9;0,08
"235";"40_1";9;12;636,1;35;6;0,03;2,21;94,32;77,58;8,62;514,6;0,53;6,88;104,64;60,1;21,97;490,3;38,24;10340,52;0,05
"236";"40_2";8;18;670,5;20;5;0,05;2,17;97,67;85,32;6,25;505,89;0,57;6,59;108,67;45,92;29,77;481,56;35,18;10855,04;0,05
"237";"40_3";9;22;761,6;25;11;0,04;1,74;78,87;66,05;7,17;559,07;0,62;13,06;99,21;63,18;18,06;502,5;24,86;7260,51;0,07
"238";"40_4";9;13;744;20;8;0,03;2,78;84,57;70,18;7,79;541,81;0,37;9,18;91,92;41,55;26,28;521,65;30,1;8862,16;0,06
"239";"40_5";7;19;755,4;15;7;0,03;2,21;86,29;74,8;6,17;536,8;0,42;17,14;113,59;69,08;20,88;468,46;31,95;8374,52;0,06
"240";"40_6";9;33;692,3;85;8;0,03;2,21;78,92;66,71;6,83;558,91;0,39;11,1;104,02;68,92;17,21;490,4;54,67;9582,55;0,05
"241";"41_1";9;14;503;35;10;0,03;2;96,74;70,6;13,29;508,28;0,39;12,5;274,52;177,1;26,02;267,14;30,31;19410,83;0,01
"242";"41_2";9;21;695,1;50;15;0,06;1,19;72,58;55,96;9,64;579,43;0,43;12,53;207,92;105,23;36,42;340,14;21,57;15017,47;0,03
"243";"41_3";9,5;14;313;20;10;0,02;1,04;92,78;73,1;10,21;518,72;0,36;9,28;261,99;188,07;19,97;279,37;20,43;19623,61;0,01
"244";"41_4";9,5;16;487,2;70;9;0,03;1,52;115,28;84,37;14,36;464,52;0,37;5,76;225,87;123,28;31,91;308,13;28,01;16481,01;0,02
"245";"41_5";9;16;663,9;40;21;0,08;1,54;123,12;93,87;13,11;448,19;0,47;18,78;235,17;153,15;24,88;298,87;11,09;17828,77;0,02
"246";"41_6";9;13;451,6;35;18;0,05;2,17;99,84;76,11;11,87;500,4;0,42;9,66;213,11;122,23;29,57;320,29;14,52;17409,51;0,02
"247";"42_1";9;17;691,3;40;6;0,03;2,42;73,86;60,58;7,64;575,16;0,57;4,12;220,2;196,99;7,3;313,12;26,39;12895,14;0,02
"248";"42_2";7;8;678;15;6;0,06;2,63;87,89;76,22;6,21;532,23;0,63;2,5;197,18;171,01;8,88;337,64;17,52;11674,08;0,03
"249";"42_3";9;20;723,5;25;5;0,06;1,64;93,32;72,44;10,8;517,27;0,42;5,82;192,47;166,21;8,98;342,2;19,82;10852,51;0,03
"250";"42_4";9;12;692,7;15;7;0,1;1,72;89,94;73,4;8,71;526,48;0,59;4,14;227,92;201,56;8,12;307,86;22,38;13037,3;0,02
"251";"42_5";9;10;256;5;3;0,03;2,42;103,31;86,2;8,41;491,87;0,42;5,87;182,36;159,33;7,8;357,81;22,8;13099,83;0,03
"252";"42_6";9;12;397,9;10;3;0,07;1,39;102,55;83,99;9,16;493,71;0,41;5,47;206,96;179,69;8,86;326,11;22,99;11741,1;0,03
"253";"43_1";9;61;669,6;65;8;0,04;8,72;67,34;54,87;7,45;597,6;0,68;6,21;176,49;128,14;17,74;362,79;12,73;14147,02;0,03
"254";"43_2";9;34;700,4;60;9;0,15;0,97;64,13;49,62;8,84;609,27;0,59;6,9;170,67;118,7;19,24;369,84;15,26;12359,78;0,03
"255";"43_3";9,5;18;585,9;70;7;0,1;1,21;65,37;54,45;6,6;604,72;0,65;7,57;167,76;116,73;19,21;374,24;11,62;13137,53;0,03
"256";"43_4";9,5;38;743,4;50;9;0,12;1,69;73,29;59,3;8,07;577,07;0,55;22,63;137,8;69,02;29,39;421,6;12,16;10848,73;0,04
"257";"43_5";9;12;635,1;15;9;0,04;2,44;55,31;42,38;8,33;643,87;0,63;7,61;158,17;82,54;29,6;387,87;11,58;10912,61;0,04
"258";"43_6";9,5;86;632,3;70;9;0,09;1,47;51,28;42,25;5,97;661,03;0,57;10,11;130,5;79,96;22,24;434,76;17,18;10408,56;0,04
"259";"44_1";9;9;205;10;0;0;1,25;194,12;149,13;15,3;340;0,26;51,54;297,3;59,26;59,54;253,05;42,71;18355,33;0,01
"260";"44_2";9;18;713,9;45;0;0,01;0,83;182,91;145,77;13,13;353,47;0,29;92,49;240,11;67,91;49,76;295,64;49,66;12063,72;0,02
"261";"44_3";9;31;595,2;15;2;0,01;2,27;189,3;154,4;12,07;345,66;0,41;12,51;279,6;13,96;69,96;263,63;39,74;14932,09;0,02
"262";"44_4";9;21;688,3;45;1;0,01;1,79;201,17;170,01;10,35;332,04;0,46;73,67;223,73;22,96;61,9;309,84;55,9;11159,3;0,03
"263";"44_5";9;24;613,9;35;1;0,01;2,78;213,57;169,9;13,93;318,9;0,42;47,84;257,02;38,48;61,41;281,85;45,47;12550,03;0,02
"264";"44_6";9;16;665,9;20;3;0,1;0,26;276,41;187,52;23,62;265,67;0,48;86,79;255,27;12,56;68,31;281,54;36,39;12976,78;0,02
"265";"45_1";9;44;752,3;90;5;0,05;2,17;92,63;81,14;5,96;519,13;0,6;21,4;88,68;24,59;33,94;530,07;26,42;7123,83;0,08
"266";"45_2";8,5;28;751,9;25;10;0,06;1,56;54,12;45,08;5,87;648,85;0,59;26,08;96,96;25,05;36,4;507,95;14,97;7312,8;0,07
"267";"45_3";8,5;22;798,4;35;10;0,04;2,78;77,78;61,98;8,89;562,48;0,65;27,91;89,49;18,17;37,62;528,46;20,81;7124,1;0,07
"268";"45_4";9;29;848;80;7;0,03;3,12;68,82;55,1;8,13;592,35;0,58;28,03;90,51;9,81;42,36;525,02;9,07;6760,51;0,08
"269";"45_5";9;22;666,2;25;8;0,04;2,03;64,69;54,83;5,98;607,21;0,49;31,37;95,9;23,65;36,87;510,5;30,7;7860,87;0,06
"270";"45_6";8;30;840,9;90;8;0,07;1,52;71,19;58,71;7,29;584,14;0,51;36,68;93,3;30,84;32,3;517,47;22,94;7954,42;0,07
"271";"46_1";9,5;16;649,1;35;16;0,05;2,83;NA;NA;16,5;NA;0,49;14;NA;NA;34,99;NA;11,43;NA;NA
"272";"46_2";9,5;26;564,2;35;15;0,08;1,9;NA;NA;9,22;NA;0,71;8,52;NA;NA;35,81;NA;10,15;NA;NA
"273";"46_3";9,5;16;505,4;40;17;0,06;1,67;NA;NA;10,15;NA;0,5;15,75;NA;NA;39,9;NA;11,93;NA;NA
"274";"46_4";9;24;674,2;35;14;0,1;2;NA;NA;7,47;NA;0,75;13,92;NA;NA;37,97;NA;7,78;NA;NA
"275";"46_5";9;9;198,2;15;8;0,1;0,97;NA;NA;11;NA;0,51;20,25;NA;NA;26,74;NA;17,84;NA;NA
"276";"46_6";9,5;30;238,2;80;9;0,03;1;NA;NA;14,76;NA;0,46;6,35;NA;NA;30,4;NA;21,22;NA;NA
"277";"46_7";9,5;16;739,3;45;17;0,05;1,02;NA;NA;11,93;NA;0,41;27,88;NA;NA;64,93;NA;15,89;NA;NA
"278";"47_1";9,5;30;603;25;0;0,01;10,42;NA;NA;4,44;NA;0,5;12,61;NA;NA;14,19;NA;341,34;NA;NA
"279";"47_2";8,5;22;508,4;60;4;0,03;2,88;NA;NA;7,79;NA;0,48;20,65;NA;NA;17,54;NA;79,59;NA;NA
"280";"47_4";8;18;690,8;20;4;0,03;5;NA;NA;6,59;NA;0,42;11,2;NA;NA;21,48;NA;131,84;NA;NA
"281";"47_5";9;16;739,5;25;3;0,01;6,25;NA;NA;7,91;NA;0,46;7,05;NA;NA;29,84;NA;70,69;NA;NA
"282";"47_6";9;24;459;15;0;0,01;17,86;NA;NA;6,49;NA;0,45;4,76;NA;NA;16,59;NA;292,39;NA;NA
