"";"X";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_rami";"SD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT";"VPD";"Nb_FI";"SD_cr";"TD_cr";"LA_cr";"LDMC_cr";"LMC_t24_cr";"SLA_cr";"Nb_rami_cr";"Nb_essais";"groupe"
"14";14;"Calophyllum caledonicum";39;"F";26,6;1,5;65,3;8,4;1,6;8,4;33;33;744,04;38;38;1;8,6;4,39;96,14;85,1;511,55;0,63;12,01;15,3;128,14;96,6;13,87;438,83;31,76;5560,86;80,27;1,21;5;-0,331378197575536;-0,0892300314689865;-0,470160545086675;0,782833599956001;-0,324020352858972;-0,966185325244727;0,401484921414927;5;"1"
"15";15;"Calophyllum inophyllum";13;"G";28,5;3,2;68,1;9,1;0,9;9,1;33,6;33,6;622,58;78;78;1;1,6;14,43;126,98;106,94;442,46;0,6;11,59;9,27;144,14;105,03;16,09;415,76;110,17;6810,71;63,82;1,24;5;1,59340079722428;-0,25804360451842;0,267568889193364;0,550517291191119;-0,23549692375614;-0,727337823689897;-0,928564510626953;5;"1"
"16";16;"Casuarina collina";8;"";29,6;3,8;71,9;9,5;0,5;9,5;38;38;702,62;94,17;94,17;1;23,33;4,52;70,81;51,11;586,74;0,5;8,97;11,55;110,58;29,78;38,19;478,88;4,52;12421,98;44,89;1,17;6;-0,306455760391873;-0,820755514683198;-0,726451194108334;1,18613954560115;-1,02569716574761;0,344981110621878;3,20028894055448;6;"1"
"17";17;"Cerbera manghas";20;"G";29,1;1,5;68,8;5,67;1,25;8,75;12,83;16;424,57;10;15;0,67;3,33;5,43;223,47;201,5;333,02;0,75;15,92;2,8;281,45;251,62;7,8;263,52;68,34;13831,27;19,61;1,26;4;-0,131998700106233;0,586024260728747;-0,125993440049514;-0,982548805313677;1,30384465064292;0,614297744990968;-0,599852293850888;6;"2"
"18";18;"Cerberiopsis candelabra";58;"";29,7;6;64;0,5;5,83;4,17;1,17;4,83;192,65;0,83;4;0,17;0;32,11;151,83;137,01;409;0,74;15,53;19,96;228,46;149,86;24,05;305,45;119,14;5684,74;54,29;1,5;1;4,98285225420243;0,529753069712269;0,35196415797913;-0,560311144866711;0,235262901472798;-0,942511741620602;-1,23257580937938;6;"4"
"19";19;"Codia spatulata";5;"M";31,8;4,2;54,9;8,33;1,67;8,33;64,17;64,17;785,05;62,5;62,5;1;9,83;5,05;81,09;67,98;553,61;0,74;13,78;21,82;112,2;70,75;19,59;472,06;18,25;4727,26;101,07;2,12;6;-0,204848901104632;0,529753069712269;-0,597270922042718;1,11746172913923;-0,595471200107868;-1,12548706329018;0,635193607330858;6;"3"
"20";20;"Codiaeum peltatum";42;"L";27,4;1,4;75;8,7;1,3;8,7;14;14;636,68;20;20;1;5,4;1,95;89,51;73,33;528,97;0,52;9,83;4,41;208,95;183,68;8,23;325,39;21,82;12040,1;27,66;0,91;5;-0,799153172407362;-0,708213132650243;-0,563682169582831;-0,359514127234646;0,590406717873482;0,27200348619194;-0,206537676089932;5;"2"
"21";21;"Commersonia bartramia";61;"";27,9;2;70,9;9,33;0,67;9,33;30,5;30,5;742,22;64,17;64,17;1;5,67;5,41;145,24;107,53;409,7;0,4;9,86;11,29;167,3;56,44;41,29;375,84;69,07;17349,67;22,34;1,09;6;-0,135832921211411;-1,38346742484798;-0,119125151731386;0,148520453484396;-0,745740508584917;1,28666726891025;-0,155235769425459;6;"1"
"22";22;"Cordia dichotoma";44;"L";25,7;1,2;76,8;9,17;0,83;9,17;20;20;571,2;30;30;0,83;1,17;1,55;209,58;162,79;325,96;0,39;7,65;60,81;258,28;35,66;61,81;281,48;44,98;13653,7;21,71;0,77;5;-0,87583759451094;-1,43973861586445;-0,345778666229615;-0,801690508589911;-0,963951286373392;0,580363952254967;-1,01026754716667;6;"2"
"23";23;"Crossostylis grandiflora";48;"F";29,5;5;59,9;8,92;1,08;8,92;20,17;20,17;656,78;42,5;42,5;1;3,83;9,36;156,55;140,71;389,96;0,6;11,48;35,92;219,21;166,39;16,82;315,96;73,65;8897,99;36,9;1,65;6;0,621425747061422;-0,25804360451842;-0,0760336989957322;-0,454474803075688;0,408844429713581;-0,328456667514863;-0,504848762990754;6;"2"
"24";24;"Deplanchea speciosa";63;"";31,7;3;66,5;9,17;0,83;9,17;25;25;694,5;70;70;1;0,17;12,91;182,33;156,55;356,91;0,67;14,16;12,71;270,23;193,3;21,55;274,11;222,89;8956,24;32,29;1,57;6;1,30199999323068;0,135854732596925;1,32810787442543;-0,87590685863747;0,691426336849667;-0,317325038146884;-1,20027460888694;6;"1"
"25";25;"Diospyros fasciculosa";40;"L";27,4;1,4;75;9,33;0,67;9,33;20,33;20,33;709,98;33,33;33,33;1;7,5;2,21;86,77;73,44;536,18;0,48;9,1;10,66;103,56;58,03;22,36;492,79;35,83;9206,86;55,53;0,91;6;-0,749308298040036;-0,933297896716154;-0,431867485559577;1,32621409501248;-0,729043918754134;-0,269431322229236;0,192477153522632;6;"2"
"26";26;"Dracophyllum verticillatum";60;"";27,9;2;70,9;9,08;0,92;9,08;78,5;78,5;897,18;92,83;92,83;1;0,17;4,98;63,72;53,58;613,91;1,06;25,56;15,59;76,11;32,91;24,75;571,02;60,88;3491,04;168,25;1,09;6;-0,218268674972758;2,33043118223956;-0,196181701492303;2,1139949721116;-0,992829036080721;-1,36172985912337;-1,20027460888694;6;"3"
"27";27;"Elaeocarpus angustifolius";53;"";26,1;1;77,4;9,5;0,5;9,5;18,33;18,33;700,57;57,5;57,5;1;7,5;2,08;136,93;116,03;422,64;0,44;9,27;31,1;152,93;90,29;24,7;396,68;23,68;11276,41;36,14;0,76;6;-0,774230735223699;-1,15838266078207;-0,546182147292806;0,35838052607478;-0,390281662187426;0,126061614397398;0,192477153522632;6;"1"
