ID_echantillon;ID_Feuille;Masse_F_T0;Masse_F_T24;Masse_F_Tsec;Surface_F
06_6;06_6_5;1,758;1,503;0,597;38,598
07_1;07_1_1;1,321;1,283;0,634;19,86240539
07_1;07_1_2;1,484;1,376;0,693;24,57605101
07_1;07_1_3;1,43;1,408;0,7;23,29192501
07_1;07_1_4;2,151;2,065;1,05;309,2175401
07_1;07_1_5;1,168;1,124;0,558;20,12425714
07_2;07_2_1;2,933;2,774;1,421;41,02378081
07_2;07_2_2;2,5;2,371;1,118;37,31952891
07_2;07_2_3;2,252;2,137;1,082;34,57699706
07_2;07_2_4;2,496;2,354;1,165;35,94767394
07_2;07_2_5;2,292;2,139;1,112;36,93444819
07_3;07_3_1;2,058;1,994;0,949;30,64584364
07_3;07_3_2;2,439;2,344;1,106;36,89800572
07_3;07_3_3;1,903;1,842;0,868;33,29224275
07_3;07_3_4;2,507;2,43;1,182;38,20192375
07_3;07_3_5;2,19;2,094;1,03;36,65963737
07_4;07_4_1;1,927;1,803;0,794;41,11959938
07_4;07_4_2;2,591;2,427;1,087;49,30666838
07_4;07_4_3;1,893;1,772;0,809;41,34893565
07_4;07_4_4;1,684;1,559;0,705;36,80705661
07_4;07_4_5;1,99;1,876;0,841;37,92884081
07_5;07_5_1;1,717;1,673;0,846;28,90500861
07_5;07_5_2;1,571;1,533;0,748;26,50326102
07_5;07_5_3;1,058;1,03;0,51;22,04612645
07_5;07_5_4;1,109;1,075;0,519;20,8256177
07_5;07_5_5;1,028;0,996;0,481;20,23861111
07_6;07_6_1;3,167;3,079;1,391;38,81806861
07_6;07_6_2;3,735;3,655;1,705;48,14294392
07_6;07_6_3;2,578;2,502;1,191;36,95926677
07_6;07_6_4;2,751;2,687;1,88;38,68792813
07_6;07_6_5;3,351;3,264;1,578;47,67052693
08_1;08_1_1;0,11;0,075;0,056;18,59822851
08_1;08_1_2;0,119;0,073;0,063;4,849833659
08_1;08_1_3;0,081;0,055;0,04;3,894632413
08_1;08_1_4;0,128;0,078;0,054;5,013039397
08_1;08_1_5;0,056;0,035;0,03;3,146619202
08_2;08_2_1;0,134;0,076;0,063;5,82451278
08_2;08_2_2;0,182;0,098;0,087;7,596371036
08_2;08_2_3;0,129;0,072;0,06;5,575698642
08_2;08_2_4;0,139;0,081;0,066;6,042932009
08_2;08_2_5;0,105;0,06;0,048;4,569132355
08_3;08_3_1;0,124;0,071;0,064;4,958611305
08_3;08_3_2;0,115;0,065;0,058;4,260942116
08_3;08_3_3;0,131;0,073;0,066;4,711210883
08_3;08_3_4;0,128;0,072;0,064;5,290599108
08_3;08_3_5;0,138;0,08;0,071;5,623765009
09_1;09_1_1;1,19;0,992;;31,976
09_1;09_1_2;2,693;2,063;;65,95
09_1;09_1_3;2,618;2,016;;66,883
09_1;09_1_4;2,511;1,886;;64,396
09_1;09_1_5;2,024;1,626;;49,976
09_2;09_2_1;1,92;1,58;;48,078
09_2;09_2_2;2,081;1,554;;46,132
09_2;09_2_3;4,003;3,387;;88,484
09_2;09_2_4;2,308;1,912;;55,51
09_2;09_2_5;3;2,439;;70,177
09_3;09_3_1;2,678;2,332;;64,722
09_3;09_3_2;2,111;1,822;;54,146
09_3;09_3_3;1,987;1,73;;50,343
09_3;09_3_4;1,9;1,651;;46,758
09_3;09_3_5;2,686;2,339;;64,673
09_4;09_4_1;3,518;2,882;;83,902
09_4;09_4_2;3,046;2,608;;76,784
09_4;09_4_3;2,458;2,023;;57,914
09_4;09_4_4;2,541;1,961;;59,032
09_4;09_4_5;2,642;2,288;;63,33
09_5;09_5_1;2,175;1,828;;50,236
09_5;09_5_2;2,049;1,74;;49,558
09_5;09_5_3;2,193;1,879;;50,1
09_5;09_5_4;2,553;2,119;;58,537
09_5;09_5_5;1,037;0,899;;27,084
09_6;09_6_1;1,364;1,241;;41,986
09_6;09_6_2;1,578;1,375;;59,806
09_6;09_6_3;1,588;1,309;;49,68
09_6;09_6_4;2,078;1,725;;87,274
09_6;09_6_5;3,878;3,134;;44,775
10_1;10_1_1;0,742;0,366;;16,237
10_1;10_1_2;0,323;0,27;;7,917
10_1;10_1_3;0,313;0,212;;7,019
10_1;10_1_4;0,313;0,244;;7,875
10_1;10_1_5;0,34;0,305;;7,774
10_2;10_2_1;0,34;0,16;;7,315
10_2;10_2_2;0,263;0,144;;5,997
10_2;10_2_3;0,266;0,179;;6,198
10_2;10_2_4;0,238;0,123;;6,136
10_2;10_2_5;0,179;0,094;;4,958
10_3;10_3_1;0,386;0,248;;8,814
10_3;10_3_2;0,364;0,155;;8,57
10_3;10_3_3;0,387;0,164;;8,622
10_3;10_3_4;0,356;0,217;;8,553
10_3;10_3_5;0,38;0,218;;9,003
10_4;10_4_1;0,228;0,104;;5,575
10_4;10_4_2;0,346;0,156;;8,071
10_4;10_4_3;0,386;0,166;;9,148
10_4;10_4_4;0,34;0,16;;7,602
10_4;10_4_5;0,318;0,146;;7,638
10_5;10_5_1;0,511;0,33;;12,707
10_5;10_5_2;0,393;0,209;;10,066
10_5;10_5_3;0,495;0,202;;12,52
10_5;10_5_4;0,493;0,353;;12,358
10_5;10_5_5;0,46;0,302;;11,407
10_6;10_6_1;0,436;0,216;;9,878
10_6;10_6_2;0,486;0,332;;10,371
10_6;10_6_3;0,447;0,388;;10,435
10_6;10_6_4;0,397;0,184;;8,938
10_6;10_6_5;0,266;0,13;;6,478
11_1;11_1_1;1,606;1,482;;27,314
11_1;11_1_2;2,154;1,987;;37,557
11_1;11_1_3;2,086;1,9;;36,135
11_1;11_1_4;2,276;2,107;;39,569
11_1;11_1_5;1,999;1,851;;34,121
11_2;11_2_1;3,078;2,414;;43,371
11_2;11_2_2;3,21;2,742;;45,066
11_2;11_2_3;2,478;1,997;;33,882
11_2;11_2_4;3,098;2,539;;42,313
11_2;11_2_5;3,014;2,611;;43,365
11_3;11_3_1;3,628;3,173;;60,344
11_3;11_3_2;4,123;3,251;;65,485
11_3;11_3_3;3,192;2,701;;51,977
11_3;11_3_4;2,248;1,613;;38,55
11_3;11_3_5;2,068;1,748;;34,792
11_4;11_4_1;2,955;2,79;;47,276
11_4;11_4_2;3,334;3,13;;52,724
11_4;11_4_3;2,848;2,694;;48,672
11_4;11_4_4;2,398;2,233;;38,31
11_4;11_4_5;2,401;2,236;;42,237
11_5;11_5_1;6,451;5,173;;101,343
11_5;11_5_2;6,79;5,39;;110,177
11_5;11_5_3;6,936;5,927;;110,635
11_5;11_5_4;5,861;4,811;;96,898
11_5;11_5_5;6,329;5,127;;102,77
11_6;11_6_1;4,347;3,937;;62,494
11_6;11_6_2;1,857;1,62;;27,461
11_6;11_6_3;4,061;3,551;;57,472
11_6;11_6_4;4,324;3,822;;60,198
11_6;11_6_5;1,819;1,599;;28,06
12_1;12_1_1;0,911;0,729;;18,942
12_1;12_1_2;0,809;0,668;;16,371
12_1;12_1_3;0,686;0,57;;14,449
12_1;12_1_4;0,63;0,538;;12,886
12_1;12_1_5;0,66;0,426;;13,415
12_2;12_2_1;0,388;0,333;;7,203
12_2;12_2_2;0,984;0,753;;16,162
12_2;12_2_3;0,716;0,582;;12,012
12_2;12_2_4;0,981;0,823;;16,593
12_2;12_2_5;0,447;0,384;;7,741
12_3;12_3_1;1,049;0,711;;18,924
12_3;12_3_2;1,009;0,903;;17,893
12_3;12_3_3;1,006;0,79;;18,032
12_3;12_3_4;1,167;0,758;;21,22
12_3;12_3_5;1,139;0,684;;20,958
12_4;12_4_1;1,099;0,871;;22,624
12_4;12_4_2;0,808;0,656;;16,97
12_4;12_4_3;0,719;0,628;;14,075
12_4;12_4_4;0,985;0,717;;19,338
12_4;12_4_5;1,057;0,832;;20,083
12_5;12_5_1;1,392;1,22;;27,555
12_5;12_5_2;0,548;0,473;;11,971
12_5;12_5_3;1,1;0,96;;23,263
12_5;12_5_4;0,545;0,471;;12,181
12_5;12_5_5;1,243;1,087;;24,775
12_6;12_6_1;0,493;0,395;;9,486
12_6;12_6_2;0,662;0,399;;11,691
12_6;12_6_3;0,468;0,308;;9,24
12_6;12_6_4;0,65;0,406;;11,376
12_6;12_6_5;0,399;0,283;;7,69
