"ID_echantillon";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"SD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"10_6";"Hibbertia lucens";10;"M";27,5;1,5;80;9;1;9;44;44;726;60;60;1;12;4,28;90,08;76,19;526,09;1,42;16,49;52,45;186,21;74,19;40,03;352,27;9,22;6525,17;0,05
"11_1";"Metrosideros laurifolia";11;"M";27,6;5,5;78,2;8,5;1,5;8,5;108;108;809;40;40;1;7;7,02;90,57;79,3;524,74;1,11;16,36;18,62;134,44;116,05;7,84;426,64;34,94;4043,19;0,11
"11_2";"Metrosideros laurifolia";11;"M";29,9;3;72,5;8;2;8;17;17;500;5;5;1;9;4,25;79,92;67,81;555,81;1,06;16,03;24,57;120,51;82,21;17,39;453,63;41,6;3081,08;0,15
"11_3";"Metrosideros laurifolia";11;"M";29,9;3;72,5;8;2;8;131;131;845;75;75;1;5;6,47;83,66;71,27;544,49;1,03;17,7;20,73;127,6;85,4;18,56;439,44;50,23;3767,82;0,12
"11_4";"Metrosideros laurifolia";11;"M";27,5;1,5;77,7;7;3;7;22;22;630;5;5;1;11;5,3;66,23;55,85;601,59;1,03;15,52;10,59;158,14;142,22;6,17;387,8;45,84;4262,67;0,09
"11_5";"Metrosideros laurifolia";11;"M";27,5;1,5;83;8,5;1,5;8,5;42;42;824;30;30;1;2;8,18;84,81;68,51;541,08;0,87;12,95;29,07;157,15;109,96;18,38;388,98;104,36;4148,5;0,09
"11_6";"Metrosideros laurifolia";11;"M";27,5;1,5;80;7;3;7;19;19;479;5;5;1;9;8,81;66,61;56,58;600,21;1,27;16,18;21,36;126,74;100,28;11,69;441,17;47,14;3295,12;0,13
"12_1";"Tristaniopsis glauca";12;"M";27,6;6;78,2;9;1;9;87;87;818;95;95;1;7;2,84;59,79;41,28;625,82;0,72;9,13;19,77;88,28;49,32;20,87;531,54;15,21;3874,16;0,14
"12_2";"Tristaniopsis glauca";12;"M";29,9;3;72,5;9;1;9;56;56;806;85;85;1;9;5,35;55,21;45,7;644,27;1,07;13,84;16,12;89,7;57;17,32;527,73;11,94;3267,43;0,16
"12_3";"Tristaniopsis glauca";12;"M";29,9;3;72,5;9;1;9;43;43;785;95;95;1;8;5,13;54,69;43,9;646,45;0,79;10,69;23,61;93,26;40,17;27,84;518,27;19,41;3488,21;0,15
"12_4";"Tristaniopsis glauca";12;"M";27,5;1,5;77,7;9;1;9;96;96;705;65;65;1;7;2,6;47,02;38,24;680,19;0,86;12,29;21,41;97,47;57,64;20,14;506,46;18,62;3940,4;0,13
"12_5";"Tristaniopsis glauca";12;"M";27,5;1,5;83;9;1;9;53;53;717;85;85;1;10;2,97;62,1;47,16;616,9;0,92;12,01;19,04;97,59;71,95;12,98;506,14;19,95;4151,08;0,12
"12_6";"Tristaniopsis glauca";12;"M";27,5;1,5;80;9;1;9;54;54;824;92;92;1;8;3,12;48,02;41,43;675,61;0,8;10,39;20,45;83,78;25,1;32,08;544,63;9,9;3435,57;0,16
"13_1";"Calophyllum inophyllum";13;"G";28,5;3,2;68,1;9;1;9;24;24;707,1;75;75;1;1;19,06;107,37;86,7;482,22;0,6;11,94;13;163,4;126,83;14,14;381,2;130,61;7128,59;0,06
"13_2";"Calophyllum inophyllum";13;"G";28,5;3,2;68,1;9;1;9;57;57;675,8;85;85;1;2;9,51;138;118,06;420,17;0,62;12,08;5,89;138,19;93,62;18,3;441,61;126,78;6440,27;0,08
"13_3";"Calophyllum inophyllum";13;"G";28,5;3,2;68,1;9,5;0,5;9,5;24;24;475;80;80;1;2;14,57;149,39;128,71;400,98;0,65;12,61;10,3;150,06;101,79;19,39;400,26;114,27;7261,1;0,06
"13_4";"Calophyllum inophyllum";13;"G";28,5;3,2;68,1;9;1;9;39;39;642,3;75;75;1;0;21,32;117,63;95,87;459,5;0,52;9,83;4,43;140,76;116,95;9,87;416,41;92,95;6738,59;0,06
"13_5";"Calophyllum inophyllum";13;"G";28,5;3,2;68,1;9;1;9;24;24;612,7;75;75;1;3;7,69;122,5;105,37;449,43;0,62;11,47;12,75;128,28;85,96;18,74;439,32;86,23;6484,55;0,07
"14_1";"Santalum austrocaledonicum";14;"G";28,5;3,2;68,1;9;1;9;20;20;632;75;75;1;15;2,56;99,02;75,74;502,46;0,52;8,57;45;274,58;186,39;23,55;267,04;11,61;11616,32;0,02
