"";"Nom_scientifique";"ID_espece";"Milieu_recolte";"T_ambiante";"Vent";"Humidite";"DI";"DI_test";"score_DI";"BT";"BT_test";"MT";"BB";"BB_test";"FI";"Nb_ramifications";"SD";"TMC_t0";"TMC_t24";"TDMC";"TD";"TDIA";"Gmin";"LMC_t0";"LMC_t24";"PEF";"LDMC";"Surface_F";"SLA";"LT"
"44";"Myodocarpus fraxinifolius";37;"F";0;0;0;0,19;0,19;0,19;38,36;38,36;30,92;5,62;5,62;0;0,51;3,28;19,77;18,36;44,16;0,13;1,59;6,1;19,05;21,7;4,48;30,84;7,24;1190,68;0,01
"45";"Neuburgia novocaledonica";27;"F";0;0;0;4,83;0;0;6,58;1,92;151,38;20,27;12,02;0,48;1,41;2,76;57,45;41,14;51,72;0,13;4,11;5,36;52,46;72,27;11,42;21,5;58,53;2206,06;0
"46";"Pinus caribea";24;"N";0;0;0;0;0;0;45,59;45,59;64,75;21,73;21,73;0;4,18;2,2;8,59;8,69;24,27;0,09;1,87;2,79;15,89;19,15;4,63;27,93;0,84;804,06;0,01
"47";"Santalum austrocaledonicum";14;"G";0;0;0;0,29;0,29;0,29;13,05;13,05;83,67;22,74;22,74;0;2,54;1,32;9,55;10,45;27,39;0,1;1,86;11,77;35,06;36,5;6,56;34,11;2,59;1719,77;0,01
"48";"Scaevola montana";46;"N";0;0;0;3,6;0,19;0,19;8,5;5,77;196,18;13,9;10,35;0,38;3,15;0,65;14,21;11,53;31,94;0,13;2,49;6,16;58,08;102,29;15,93;24,6;4,45;3289,1;0
"49";"Scaevola taccada";21;"G";0;0;0;1,9;1,9;1,9;1,9;1,9;0;0,38;0,38;0;3,71;3,83;28,21;23,88;23,92;0,09;0,9;5,16;131,58;133,2;3,12;16,43;12,38;3377,89;0
"50";"Syzygium cumini";15;"N";0;0;0;0,24;0,24;0,24;7,62;7,62;60,57;20,48;20,48;0;2,1;1,12;9,58;8,16;20,31;0,1;1,32;8,15;30,34;26,91;3,92;40,53;16,09;1865,67;0,01
"51";"Tabernaemontana cerifera";36;"F";0;0;0;0,42;0,42;0,42;7,12;7,12;163,08;6,34;6,34;0;0,59;1,73;18,3;17,41;22,73;0,04;0,55;27,69;51,37;64,08;9,13;25,09;46,09;1389,17;0,01
"52";"Terminalia catappa";2;"N";0;0;0;0,39;0,39;0,39;5,66;5,66;89,54;12,6;12,6;0;1,4;NA;107,58;84,61;109,5;0,09;2,28;10,52;32,61;39,52;8,14;30,69;94,24;1790,39;0,01
"53";"Trema cannabina";52;"N";0;0;0;0;0;0;3,32;3,32;54,4;22,49;22,49;0;4,05;0,54;25,54;28,97;30,54;0,04;1,05;19,45;35,56;30,1;10,79;42,54;10,43;3563,91;0
"54";"Tristaniopsis glauca";12;"M";1,14;1,63;3,87;0;0;0;19,8;19,8;48,37;10,51;10,51;0;1,09;1,14;5,64;3,04;23,76;0,11;1,54;2,32;7,35;21,68;9,25;20,28;5,33;368,7;0,02
