ID_echantillon;T_ambiante;Vent;Humidite;T_grill;DI;DI_test;MT;temps_total;BB;BB_test;remarque;longeur;largeur;hauteur;masse
30_4;27,4;1,2;70,9;154,3;1;1;746,9;140;25;25;fleur;70;58;21;275
30_5;27,4;1,2;70,9;195,2;7;7;452,6;139;5;5;gaz pas fort, fleur;70;34;12;250
30_6;27,4;1,2;70,9;175,3;1;1;662,2;138;15;15;fleur;70;67;14;225
31_1;27,4;1,2;70,9;185,7;0,5;0,5;385,5;133;5;5;;70;34;6;175
31_2;27,4;1,2;70,9;176,2;0,5;0,5;489,7;134;5;5;;70;50;10;200
31_3;27,4;1,2;70,9;174,5;10;1;150;130;0;5;;70;47;6;125
31_4;27,4;1,2;70,9;184,3;10;1;150;130;0;2;;70;57;13;150
31_5;27,4;1,2;70,9;181,3;10;1;150;130;0;5;;70;45;7;225
31_6;27,4;1,2;70,9;180,7;1;1;612,4;133;5;5;;70;74;10;325
32_1;27,4;1,2;70,9;166,6;1;1;757,1;154;60;60;;70;50;14;75
32_2;27,4;1,2;70,9;165,5;0,5;0,5;645,5;176;80;80;;70;33;16;50
32_3;27,4;1,2;70,9;178,6;1;1;805,5;145;95;95;;70;36;11;75
32_4;27,4;1,2;70,9;167,6;1;1;690,6;146;85;85;;70;32;21;50
32_5;27,4;1,2;70,9;151,4;0,5;0,5;849;158;95;95;;70;33;8;75
32_6;27,4;1,2;70,9;190,7;0,5;0,5;806,3;160;90;90;;70;44;13;100
33_1;28,3;2;75,1;192,3;0,5;0,5;792;185;95;95;;70;70;23;225
33_2;28,3;2;75,1;178;1;1;772,7;159;90;90;;70;46;20;150
33_3;28,3;2;75,1;185,8;0,5;0,5;690,4;140;70;70;;70;39;17;150
33_4;28,3;3;75,1;174,3;3;3;713,1;172;45;45;;70;50;32;200
33_5;28,3;2;75,1;187,5;1;1;700,5;145;30;30;;70;49;10;100
33_6;28,3;2;75,1;188,1;0,5;0,5;697,6;146;50;50;;70;50;10;125
34_1;28,3;2;75,1;192,1;0,5;0,5;658,2;157;65;65;;70;53;14;150
34_2;28,3;2;75,1;187,4;0,5;0,5;685;146;85;85;;70;57;9;125
