"";"ID_echantillon";"ID_Feuille";"Esp";"Masse_F_T0";"Masse_F_T24";"Masse_F_Tsec";"Longueur_F";"Largeur_F";"Surface_F";"LMC_t0";"LMC_t24";"LDMC";"SLA";"LT"
"63";"03_1";"03_1_3";"Alphitonia_neocaledonica";0,34;0,274;NA;NA;NA;10,827;NA;NA;NA;NA;NA
"64";"03_1";"03_1_4";"Alphitonia_neocaledonica";0,506;0,391;NA;NA;NA;15,55;NA;NA;NA;NA;NA
"65";"03_1";"03_1_5";"Alphitonia_neocaledonica";0,787;0,661;NA;NA;NA;22,549;NA;NA;NA;NA;NA
"66";"03_2";"03_2_1";"Alphitonia_neocaledonica";0,469;0,367;NA;NA;NA;10,48;NA;NA;NA;NA;NA
"67";"03_2";"03_2_2";"Alphitonia_neocaledonica";1,115;0,869;NA;NA;NA;25,731;NA;NA;NA;NA;NA
"68";"03_2";"03_2_3";"Alphitonia_neocaledonica";1,104;0,888;NA;NA;NA;25,181;NA;NA;NA;NA;NA
"69";"03_2";"03_2_4";"Alphitonia_neocaledonica";1,006;0,791;NA;NA;NA;22,225;NA;NA;NA;NA;NA
"70";"03_2";"03_2_5";"Alphitonia_neocaledonica";0,96;0,608;NA;NA;NA;20,659;NA;NA;NA;NA;NA
"71";"03_3";"03_3_1";"Alphitonia_neocaledonica";0,78;0,573;NA;NA;NA;18,793;NA;NA;NA;NA;NA
"72";"03_3";"03_3_2";"Alphitonia_neocaledonica";1,472;1,067;NA;NA;NA;33,615;NA;NA;NA;NA;NA
"73";"03_3";"03_3_3";"Alphitonia_neocaledonica";0,657;0,488;NA;NA;NA;15,41;NA;NA;NA;NA;NA
"74";"03_3";"03_3_4";"Alphitonia_neocaledonica";0,806;0,572;NA;NA;NA;18,163;NA;NA;NA;NA;NA
"75";"03_3";"03_3_5";"Alphitonia_neocaledonica";0,802;0,531;NA;NA;NA;18,328;NA;NA;NA;NA;NA
"76";"03_4";"03_4_1";"Alphitonia_neocaledonica";0,384;0,307;NA;NA;NA;13,741;NA;NA;NA;NA;NA
"77";"03_4";"03_4_2";"Alphitonia_neocaledonica";0,899;0,726;NA;NA;NA;29,52;NA;NA;NA;NA;NA
"78";"03_4";"03_4_3";"Alphitonia_neocaledonica";0,743;0,617;NA;NA;NA;24,288;NA;NA;NA;NA;NA
"79";"03_4";"03_4_4";"Alphitonia_neocaledonica";1,327;1,093;NA;NA;NA;49,993;NA;NA;NA;NA;NA
"80";"03_4";"03_4_5";"Alphitonia_neocaledonica";1,4;1,024;NA;NA;NA;41,211;NA;NA;NA;NA;NA
"81";"03_5";"03_5_1";"Alphitonia_neocaledonica";0,598;0,46;NA;NA;NA;10,664;NA;NA;NA;NA;NA
"82";"03_5";"03_5_2";"Alphitonia_neocaledonica";0,868;0,729;NA;NA;NA;16,663;NA;NA;NA;NA;NA
"83";"03_5";"03_5_3";"Alphitonia_neocaledonica";0,662;0,495;NA;NA;NA;12,949;NA;NA;NA;NA;NA
"84";"03_5";"03_5_4";"Alphitonia_neocaledonica";0,962;0,783;NA;NA;NA;17,703;NA;NA;NA;NA;NA
"85";"03_5";"03_5_5";"Alphitonia_neocaledonica";1,333;0,984;NA;NA;NA;24,086;NA;NA;NA;NA;NA
"86";"03_6";"03_6_1";"Alphitonia_neocaledonica";1,146;0,758;NA;NA;NA;20,646;NA;NA;NA;NA;NA
"87";"03_6";"03_6_2";"Alphitonia_neocaledonica";1,41;0,902;NA;NA;NA;26,31;NA;NA;NA;NA;NA
"88";"03_6";"03_6_3";"Alphitonia_neocaledonica";1,013;0,686;NA;NA;NA;17,94;NA;NA;NA;NA;NA
"89";"03_6";"03_6_4";"Alphitonia_neocaledonica";1,21;0,989;NA;NA;NA;21,866;NA;NA;NA;NA;NA
"90";"03_6";"03_6_5";"Alphitonia_neocaledonica";1,222;1,017;NA;NA;NA;21,676;NA;NA;NA;NA;NA
"91";"04_1";"04_1_1";"Grevillea rubiginosa";0,431;0,23;NA;NA;NA;10,298;NA;NA;NA;NA;NA
"92";"04_1";"04_1_2";"Grevillea_rubiginosa";0,599;0,358;NA;NA;NA;13,861;NA;NA;NA;NA;NA
"93";"04_1";"04_1_3";"Grevillea_rubiginosa";0,471;0,25;NA;NA;NA;10,844;NA;NA;NA;NA;NA
"94";"04_1";"04_1_4";"Grevillea_rubiginosa";0,456;0,241;NA;NA;NA;10,907;NA;NA;NA;NA;NA
"95";"04_1";"04_1_5";"Grevillea_rubiginosa";0,721;0,444;NA;NA;NA;15,476;NA;NA;NA;NA;NA
"96";"04_2";"04_2_1";"Grevillea_rubiginosa";0,476;0,289;NA;NA;NA;11,082;NA;NA;NA;NA;NA
"97";"04_2";"04_2_2";"Grevillea_rubiginosa";0,534;0,348;NA;NA;NA;11,47;NA;NA;NA;NA;NA
"98";"04_2";"04_2_3";"Grevillea_rubiginosa";0,547;0,355;NA;NA;NA;12,588;NA;NA;NA;NA;NA
"99";"04_2";"04_2_4";"Grevillea_rubiginosa";0,48;0,298;NA;NA;NA;9,742;NA;NA;NA;NA;NA
"100";"04_2";"04_2_5";"Grevillea_rubiginosa";0,421;0,271;NA;NA;NA;9,693;NA;NA;NA;NA;NA
